"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Lamnidae&taxon_reso=family"
"Access Time","Fri 2017-02-03 18:17:14 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Lamnidae"
"","idreso","family"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0337"
"Records Found","705"
"Records Returned","705"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"506480","occ","","","50070","Carcharodon angustidens","species","124964","","Carcharodon angustidens","species","124964","Chattian","","28.1","23.03","13672"
"506557","occ","","","51414","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Early Pliocene","Late Pliocene","5.333","2.588","13672"
"506558","occ","","","51414","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Early Pliocene","Late Pliocene","5.333","2.588","13672"
"506559","occ","","","51414","Isurus oxyrhynchus","species","34613","species not entered","Isurus","genus","34613","Early Pliocene","Late Pliocene","5.333","2.588","13672"
"513539","occ","","","51997","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Late Miocene","","11.608","5.333","13708"
"513540","occ","","","51997","Isurus retroflexus","species","34613","species not entered","Isurus","genus","34613","Late Miocene","","11.608","5.333","13708"
"513541","occ","","","51997","Isurus sp.","genus","34613","","Isurus","genus","34613","Late Miocene","","11.608","5.333","13708"
"513550","occ","","","52000","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Late Miocene","","11.608","5.333","13708"
"513558","occ","","","52005","Isurus retroflexus","species","34613","species not entered","Isurus","genus","34613","Late Miocene","","11.608","5.333","13708"
"513564","occ","","","52009","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Late Miocene","","11.608","5.333","13708"
"513565","occ","","","52009","Isurus retroflexus","species","34613","species not entered","Isurus","genus","34613","Late Miocene","","11.608","5.333","13708"
"513595","occ","","","52025","Isurus sp.","genus","34613","","Isurus","genus","34613","Late Miocene","","11.608","5.333","13708"
"513597","occ","","","52027","Isurus ? sp.","genus","34613","","Isurus","genus","34613","Late Miocene","","11.608","5.333","13708"
"515419","occ","","","52181","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Middle Miocene","","15.97","11.608","6029"
"515441","occ","","","13450","Isurus sp.","genus","34613","","Isurus","genus","34613","Langhian","Serravallian","15.97","11.62","6029"
"515467","occ","","","46070","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Tortonian","","11.62","7.246","6029"
"515468","occ","","","46070","Isurus planus","species","34613","species not entered","Isurus","genus","34613","Tortonian","","11.62","7.246","6029"
"515822","occ","","","52184","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Tortonian","","11.62","7.246","6029"
"515843","occ","","","52202","Isurus sp.","genus","34613","","Isurus","genus","34613","Tortonian","","11.62","7.246","6029"
"515916","occ","","","46069","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Serravallian","","13.82","11.62","6029"
"515917","occ","","","46069","Isurus planus","species","34613","species not entered","Isurus","genus","34613","Serravallian","","13.82","11.62","6029"
"515964","occ","","","52213","Isurus sp.","genus","34613","","Isurus","genus","34613","Late Miocene","Early Pliocene","11.608","3.6","6029"
"515983","occ","","","52216","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Tortonian","","11.62","7.246","6029"
"515992","occ","","","52217","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Zanclean","","5.333","3.6","6029"
"516006","occ","","","52218","Isurus cf. hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Piacenzian","","3.6","2.588","6029"
"516007","occ","","","52218","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Piacenzian","","3.6","2.588","6029"
"516023","occ","","","52220","Carcharodon cf. sulcidens","species","202667","","Carcharodon sulcidens","species","202667","Hemphillian","","10.3","4.9","6029"
"516061","occ","","","52223","Isurus sp.","genus","34613","","Isurus","genus","34613","Piacenzian","","3.6","2.588","6029"
"517504","occ","","","52450","Carcharodon auriculatus","species","205319","","Carcharodon auriculatus","species","205317","Waipawan","","55.8","53","13610"
"517506","occ","","","52450","Lamna obliqua","species","132650","","Lamna obliqua","species","80600","Waipawan","","55.8","53","13610"
"518397","occ","","","52644","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Calabrian","","1.806","0.781","14149"
"518400","occ","","","52644","Isurus oxyrhynchus","species","34613","species not entered","Isurus","genus","34613","Calabrian","","1.806","0.781","14149"
"519537","occ","","","52831","Lamna sp.","genus","34615","","Lamna","genus","34615","Santonian","","86.3","83.6","13936"
"520598","occ","","","18554","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Late Clarendonian","","13.6","10.3","3581"
"520948","occ","","","28039","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Waipipian","","3.6","3","14399"
"527933","occ","","","53883","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Late Miocene","","11.608","5.333","14509"
"527934","occ","","","53883","Isurus sp.","genus","34613","","Isurus","genus","34613","Late Miocene","","11.608","5.333","14509"
"528186","occ","","","53926","Oxyrhina hastalis","species","80595","recombined as","Carcharodon hastalis","species","80595","Late Pliocene","","3.6","2.588","14540"
"530050","occ","","","13626","Lamna unicuspidens","species","34615","species not entered","Lamna","genus","34615","Tortonian","","11.62","7.246","14629"
"530052","occ","","","13626","Lamna amplibasidens","species","34615","species not entered","Lamna","genus","34615","Tortonian","","11.62","7.246","14629"
"530053","occ","","","13626","Lamna serridens","species","34615","species not entered","Lamna","genus","34615","Tortonian","","11.62","7.246","14629"
"533363","occ","","","20400","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Irvingtonian","","1.8","0.3","1960"
"533364","occ","","","20400","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Irvingtonian","","1.8","0.3","1960"
"533996","occ","","","3534","Lamna lerichi","species","34615","species not entered","Lamna","genus","34615","Bartonian","","41.3","38","14727"
"534002","occ","","","3534","Isurus praecursor","species","124962","","Isurus praecursor","species","124962","Bartonian","","41.3","38","14727"
"534061","occ","","","55251","Lamna lerichi","species","34615","species not entered","Lamna","genus","34615","Priabonian","","38","33.9","14727"
"534067","occ","","","55251","Isurus praecursor","species","124962","","Isurus praecursor","species","124962","Priabonian","","38","33.9","14727"
"535212","occ","","","55394","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Langhian","","15.97","13.82","14893"
"535304","occ","","","55396","Carcharodon angustidens ?","species","124964","","Carcharodon angustidens","species","124964","Langhian","","15.97","13.82","12189"
