Species	Status	min_age	max_age
Chasmaporthetes_ossifragus	extinct	1.8	4.9
Felis_lacustris	extinct	1.8	4.9
Miracinonyx_studeri	extinct	1.8	4.9
Lynx_rufus	extant	1.8	4.9
Homotherium_johnstoni	extinct	1.8	4.9
Homotherium	extinct	1.8	4.9
Felidae	extant	1.8	4.9
Homotherium	extinct	1.8	4.9
Felidae	extant	1.8	4.9
Felis_rexroadensis	extinct	1.8	4.9
Lynx_rufus	extant	1.8	4.9
Felis_lacustris	extinct	1.8	4.9
Dinofelis_palaeoonca	extinct	1.8	4.9
Felidae	extant	1.8	4.9
Felinae	extinct	1.8	4.9
Machairodontinae	extinct	1.8	4.9
Chasmaporthetes_ossifragus	extinct	1.8	4.9
Chasmaporthetes_ossifragus	extinct	1.8	4.9
Felidae	extant	1.8	4.9
Miracinonyx_studeri	extinct	1.8	4.9
Machairodus	extinct	1.8	4.9
Megantereon	extant	1.8	4.9
Lynx_rufus	extant	1.8	4.9
Felinae	extinct	1.8	4.9
Puma_concolor	extant	1.8	4.9
Lynx_rufus	extant	1.8	4.9
Felinae	extinct	1.8	4.9
Felis_lacustris	extinct	1.8	4.9
Lynx_rufus	extant	1.8	4.9
Puma_concolor	extant	1.8	4.9
Felis_lacustris	extinct	1.8	4.9
Felinae	extinct	1.8	4.9
Puma_concolor	extant	1.8	4.9
Felis_lacustris	extinct	1.8	4.9
Lynx_rufus	extant	1.8	4.9
Felinae	extinct	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Felinae	extinct	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Homotherium_serum	extinct	0.3	1.8
Felidae	extant	0.3	1.8
Miracinonyx_inexpectatus	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Felidae	extant	0.3	1.8
Panthera_leo_atrox	extant	0.3	1.8
Felidae	extant	0.3	1.8
Smilodon_fatalis	extant	0.3	1.8
